n_segment	n_vert	x	y	z	density	class	flag
1	1	10.2	20.34	3.17	1422.89875	1	NaN
1	2	10.23	20.4	3.23	1422.89875	1	NaN
1	3	10.26	20.45	3.3	1422.89875	1	NaN
1	4	10.29	20.5	3.38	1422.89875	1	NaN
1	5	10.33	20.55	3.45	1422.89875	1	NaN
1	6	10.38	20.59	3.51	1422.89875	1	NaN
1	7	10.43	20.63	3.55	1422.89875	1	NaN
1	8	10.53	20.72	3.59	1422.89875	1	NaN
2	1	10.53	20.72	3.59	1964.99	1	NaN
2	2	10.62	20.81	3.56	1964.99	1	NaN
2	3	10.66	20.86	3.56	1964.99	1	NaN
2	4	10.71	20.9	3.57	1964.99	1	NaN
2	5	10.83	20.97	3.59	1964.99	1	NaN
3	1	10.53	20.72	3.59	1802.19823529412	1	NaN
3	2	10.6	20.66	3.5	1802.19823529412	1	NaN
3	3	10.64	20.62	3.42	1802.19823529412	1	NaN
3	4	10.69	20.6	3.33	1802.19823529412	1	NaN
3	5	10.75	20.59	3.24	1802.19823529412	1	NaN
3	6	10.8	20.57	3.15	1802.19823529412	1	NaN
3	7	10.73	20.46	3.05	1802.19823529412	1	NaN
3	8	10.69	20.41	3.02	1802.19823529412	1	NaN
3	9	10.64	20.37	2.99	1802.19823529412	1	NaN
3	10	10.59	20.32	2.96	1802.19823529412	1	NaN
3	11	10.55	20.28	2.9	1802.19823529412	1	NaN
3	12	10.5	20.24	2.8	1802.19823529412	1	NaN
3	13	10.46	20.21	2.67	1802.19823529412	1	NaN
3	14	10.43	20.19	2.53	1802.19823529412	1	NaN
3	15	10.39	20.18	2.39	1802.19823529412	1	NaN
3	16	10.34	20.17	2.27	1802.19823529412	1	NaN
3	17	10.28	20.13	2.14	1802.19823529412	1	NaN
4	1	10.53	20.72	3.59	873.666666666667	1	NaN
4	2	10.46	20.77	3.72	873.666666666667	1	NaN
4	3	10.41	20.8	3.8	873.666666666667	1	NaN
4	4	10.35	20.83	3.87	873.666666666667	1	NaN
4	5	10.29	20.83	3.93	873.666666666667	1	NaN
4	6	10.24	20.8	3.95	873.666666666667	1	NaN
4	7	10.19	20.75	3.97	873.666666666667	1	NaN
4	8	10.14	20.71	3.98	873.666666666667	1	NaN
4	9	10.09	20.67	3.98	873.666666666667	1	NaN
4	10	10.04	20.63	3.97	873.666666666667	1	NaN
4	11	9.99	20.59	3.96	873.666666666667	1	NaN
4	12	9.93	20.56	3.94	873.666666666667	1	NaN
4	13	9.89	20.51	3.94	873.666666666667	1	NaN
4	14	9.85	20.46	3.94	873.666666666667	1	NaN
4	15	9.8	20.41	3.94	873.666666666667	1	NaN
4	16	9.75	20.37	3.94	873.666666666667	1	NaN
4	17	9.7	20.34	3.94	873.666666666667	1	NaN
4	18	9.64	20.31	3.94	873.666666666667	1	NaN
5	1	10.83	20.97	3.59	1894.90727272727	1	NaN
5	2	10.91	21.07	3.55	1894.90727272727	1	NaN
5	3	10.96	21.11	3.53	1894.90727272727	1	NaN
5	4	11.01	21.15	3.51	1894.90727272727	1	NaN
5	5	11.07	21.18	3.5	1894.90727272727	1	NaN
5	6	11.13	21.2	3.49	1894.90727272727	1	NaN
5	7	11.2	21.2	3.48	1894.90727272727	1	NaN
5	8	11.27	21.19	3.47	1894.90727272727	1	NaN
5	9	11.33	21.18	3.45	1894.90727272727	1	NaN
5	10	11.39	21.17	3.42	1894.90727272727	1	NaN
5	11	11.53	21.11	3.4	1894.90727272727	1	NaN
6	1	10.83	20.97	3.59	1708.14545454545	1	NaN
6	2	10.94	20.91	3.68	1708.14545454545	1	NaN
6	3	10.99	20.87	3.7	1708.14545454545	1	NaN
6	4	11.04	20.82	3.71	1708.14545454545	1	NaN
6	5	11.08	20.77	3.72	1708.14545454545	1	NaN
6	6	11.13	20.72	3.72	1708.14545454545	1	NaN
6	7	11.16	20.67	3.72	1708.14545454545	1	NaN
6	8	11.19	20.61	3.71	1708.14545454545	1	NaN
6	9	11.22	20.55	3.7	1708.14545454545	1	NaN
6	10	11.26	20.49	3.68	1708.14545454545	1	NaN
6	11	11.32	20.36	3.65	1708.14545454545	1	NaN
7	1	11.53	21.11	3.4	1441.04333333333	1	NaN
7	2	11.64	21.13	3.46	1441.04333333333	1	NaN
7	3	11.7	21.15	3.5	1441.04333333333	1	NaN
7	4	11.77	21.17	3.53	1441.04333333333	1	NaN
7	5	11.83	21.18	3.53	1441.04333333333	1	NaN
7	6	11.89	21.19	3.53	1441.04333333333	1	NaN
7	7	11.96	21.2	3.52	1441.04333333333	1	NaN
7	8	12.02	21.23	3.5	1441.04333333333	1	NaN
7	9	12.11	21.28	3.47	1441.04333333333	1	NaN
8	1	11.53	21.11	3.4	1583.87090909091	1	NaN
8	2	11.51	21.2	3.29	1583.87090909091	1	NaN
8	3	11.52	21.26	3.24	1583.87090909091	1	NaN
8	4	11.55	21.33	3.21	1583.87090909091	1	NaN
8	5	11.58	21.38	3.2	1583.87090909091	1	NaN
8	6	11.61	21.44	3.2	1583.87090909091	1	NaN
8	7	11.64	21.5	3.19	1583.87090909091	1	NaN
8	8	11.68	21.55	3.19	1583.87090909091	1	NaN
8	9	11.73	21.59	3.21	1583.87090909091	1	NaN
8	10	11.79	21.62	3.23	1583.87090909091	1	NaN
8	11	11.91	21.6	3.25	1583.87090909091	1	NaN
9	1	11.53	21.11	3.4	2210.1725	1	NaN
9	2	11.61	20.97	3.49	2210.1725	1	NaN
9	3	11.63	20.91	3.5	2210.1725	1	NaN
9	4	11.66	20.85	3.5	2210.1725	1	NaN
9	5	11.69	20.79	3.49	2210.1725	1	NaN
9	6	11.72	20.73	3.48	2210.1725	1	NaN
9	7	11.75	20.68	3.48	2210.1725	1	NaN
9	8	11.99	20.53	3.53	2210.1725	1	NaN
10	1	12.11	21.28	3.47	1752.23428571429	1	NaN
10	2	12.14	21.37	3.55	1752.23428571429	1	NaN
10	3	12.17	21.42	3.62	1752.23428571429	1	NaN
10	4	12.2	21.48	3.68	1752.23428571429	1	NaN
10	5	12.23	21.53	3.7	1752.23428571429	1	NaN
10	6	12.26	21.6	3.7	1752.23428571429	1	NaN
10	7	12.3	21.71	3.63	1752.23428571429	1	NaN
11	1	12.11	21.28	3.47	2171.39	1	NaN
11	2	12.19	21.15	3.49	2171.39	1	NaN
11	3	12.23	21.1	3.49	2171.39	1	NaN
11	4	12.28	21.06	3.49	2171.39	1	NaN
11	5	12.34	21.02	3.49	2171.39	1	NaN
11	6	12.39	20.99	3.49	2171.39	1	NaN
11	7	12.45	20.95	3.47	2171.39	1	NaN
11	8	12.58	20.75	3.46	2171.39	1	NaN
12	1	12.11	21.28	3.47	2291.42	1	NaN
12	2	12.07	21.38	3.39	2291.42	1	NaN
12	3	12.04	21.44	3.34	2291.42	1	NaN
12	4	12.01	21.5	3.3	2291.42	1	NaN
12	5	11.91	21.6	3.25	2291.42	1	NaN
13	1	12.3	21.71	3.63	1614.452	1	NaN
13	2	12.21	21.8	3.48	1614.452	1	NaN
13	3	12.17	21.84	3.45	1614.452	1	NaN
13	4	12.11	21.88	3.45	1614.452	1	NaN
13	5	12.05	21.9	3.45	1614.452	1	NaN
14	1	12.3	21.71	3.63	1229.888	1	NaN
14	2	12.42	21.68	3.68	1229.888	1	NaN
14	3	12.49	21.67	3.67	1229.888	1	NaN
14	4	12.55	21.66	3.65	1229.888	1	NaN
14	5	12.61	21.64	3.63	1229.888	1	NaN
14	6	12.67	21.62	3.6	1229.888	1	NaN
14	7	12.73	21.59	3.56	1229.888	1	NaN
14	8	12.78	21.56	3.48	1229.888	1	NaN
14	9	12.83	21.54	3.4	1229.888	1	NaN
14	10	12.91	21.52	3.3	1229.888	1	NaN
15	1	7.55	12.25	0.62	1287.01428571429	1	NaN
15	2	7.49	12.36	0.61	1287.01428571429	1	NaN
15	3	7.47	12.42	0.61	1287.01428571429	1	NaN
15	4	7.45	12.49	0.6	1287.01428571429	1	NaN
15	5	7.45	12.55	0.6	1287.01428571429	1	NaN
15	6	7.45	12.62	0.6	1287.01428571429	1	NaN
15	7	7.43	12.78	0.63	1287.01428571429	1	NaN
16	1	7.55	12.25	0.62	2269.124	1	NaN
